name,path,cssCustomProperty,defaultValue,description,exampleValue,usage,cssProperties,source
color.background.accent.blue.subtle,color; background; accent; blue; subtle; [default],--ds-background-accent-blue-subtle,#669DF1,"Use for vibrant blue backgrounds when there is no meaning tied to the color, such as colored tags.",#669DF1,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.blue.subtle.hovered,color; background; accent; blue; subtle; hovered,--ds-background-accent-blue-subtle-hovered,#8FB8F6,Hovered state of color.background.accent.blue.subtle.,#8FB8F6,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.blue.subtle.pressed,color; background; accent; blue; subtle; pressed,--ds-background-accent-blue-subtle-pressed,#ADCBFB,Pressed state of color.background.accent.blue.subtle.,#ADCBFB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.blue.bolder,color; background; accent; blue; bolder; [default],--ds-background-accent-blue-bolder,#1868DB,"Use for blue backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements.",#1868DB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.blue.bolder.hovered,color; background; accent; blue; bolder; hovered,--ds-background-accent-blue-bolder-hovered,#1558BC,Hovered state of color.background.accent.blue.bolder.,#1558BC,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.blue.bolder.pressed,color; background; accent; blue; bolder; pressed,--ds-background-accent-blue-bolder-pressed,#144794,Pressed state of color.background.accent.blue.bolder.,#144794,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.purple.subtlest,color; background; accent; purple; subtlest; [default],--ds-background-accent-purple-subtlest,#F8EEFE,Use for purple backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color.,#F8EEFE,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.purple.subtlest.hovered,color; background; accent; purple; subtlest; hovered,--ds-background-accent-purple-subtlest-hovered,#EED7FC,Hovered state of color.background.accent.purple.subtlest.,#EED7FC,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.purple.subtlest.pressed,color; background; accent; purple; subtlest; pressed,--ds-background-accent-purple-subtlest-pressed,#E3BDFA,Pressed state of color.background.accent.purple.subtlest.,#E3BDFA,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.purple.subtler,color; background; accent; purple; subtler; [default],--ds-background-accent-purple-subtler,#EED7FC,"Use for purple backgrounds when there is no meaning tied to the color, such as colored tags.",#EED7FC,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.purple.subtler.hovered,color; background; accent; purple; subtler; hovered,--ds-background-accent-purple-subtler-hovered,#E3BDFA,Hovered state of color.background.accent.purple.subtler.,#E3BDFA,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.purple.subtler.pressed,color; background; accent; purple; subtler; pressed,--ds-background-accent-purple-subtler-pressed,#D8A0F7,Pressed state of color.background.accent.purple.subtler.,#D8A0F7,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.purple.subtle,color; background; accent; purple; subtle; [default],--ds-background-accent-purple-subtle,#C97CF4,"Use for vibrant purple backgrounds when there is no meaning tied to the color, such as colored tags.",#C97CF4,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.purple.subtle.hovered,color; background; accent; purple; subtle; hovered,--ds-background-accent-purple-subtle-hovered,#D8A0F7,Hovered state of color.background.accent.purple.subtle.,#D8A0F7,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.purple.subtle.pressed,color; background; accent; purple; subtle; pressed,--ds-background-accent-purple-subtle-pressed,#E3BDFA,Pressed state of color.background.accent.purple.subtle.,#E3BDFA,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.purple.bolder,color; background; accent; purple; bolder; [default],--ds-background-accent-purple-bolder,#964AC0,"Use for purple backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements.",#964AC0,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.purple.bolder.hovered,color; background; accent; purple; bolder; hovered,--ds-background-accent-purple-bolder-hovered,#803FA5,Hovered state of color.background.accent.purple.bolder.,#803FA5,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.purple.bolder.pressed,color; background; accent; purple; bolder; pressed,--ds-background-accent-purple-bolder-pressed,#673286,Pressed state of color.background.accent.purple.bolder.,#673286,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.magenta.subtlest,color; background; accent; magenta; subtlest; [default],--ds-background-accent-magenta-subtlest,#FFECF8,Use for magenta backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color.,#FFECF8,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.magenta.subtlest.hovered,color; background; accent; magenta; subtlest; hovered,--ds-background-accent-magenta-subtlest-hovered,#FDD0EC,Hovered state of color.background.accent.magenta.subtlest.,#FDD0EC,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.magenta.subtlest.pressed,color; background; accent; magenta; subtlest; pressed,--ds-background-accent-magenta-subtlest-pressed,#FCB6E1,Pressed state of color.background.accent.magenta.subtlest.,#FCB6E1,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.magenta.subtler,color; background; accent; magenta; subtler; [default],--ds-background-accent-magenta-subtler,#FDD0EC,"Use for magenta backgrounds when there is no meaning tied to the color, such as colored tags.",#FDD0EC,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.magenta.subtler.hovered,color; background; accent; magenta; subtler; hovered,--ds-background-accent-magenta-subtler-hovered,#FCB6E1,Hovered state of color.background.accent.magenta.subtler.,#FCB6E1,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.magenta.subtler.pressed,color; background; accent; magenta; subtler; pressed,--ds-background-accent-magenta-subtler-pressed,#F797D2,Pressed state of color.background.accent.magenta.subtler.,#F797D2,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.magenta.subtle,color; background; accent; magenta; subtle; [default],--ds-background-accent-magenta-subtle,#E774BB,"Use for vibrant magenta backgrounds when there is no meaning tied to the color, such as colored tags.",#E774BB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.magenta.subtle.hovered,color; background; accent; magenta; subtle; hovered,--ds-background-accent-magenta-subtle-hovered,#F797D2,Hovered state of color.background.accent.magenta.subtle.,#F797D2,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.magenta.subtle.pressed,color; background; accent; magenta; subtle; pressed,--ds-background-accent-magenta-subtle-pressed,#FCB6E1,Pressed state of color.background.accent.magenta.subtle.,#FCB6E1,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.magenta.bolder,color; background; accent; magenta; bolder; [default],--ds-background-accent-magenta-bolder,#AE4787,"Use for magenta backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements.",#AE4787,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.magenta.bolder.hovered,color; background; accent; magenta; bolder; hovered,--ds-background-accent-magenta-bolder-hovered,#943D73,Hovered state of color.background.accent.magenta.bolder.,#943D73,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.magenta.bolder.pressed,color; background; accent; magenta; bolder; pressed,--ds-background-accent-magenta-bolder-pressed,#77325B,Pressed state of color.background.accent.magenta.bolder.,#77325B,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.gray.subtlest,color; background; accent; gray; subtlest; [default],--ds-background-accent-gray-subtlest,#F0F1F2,Use for gray backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color.,#F0F1F2,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.gray.subtlest.hovered,color; background; accent; gray; subtlest; hovered,--ds-background-accent-gray-subtlest-hovered,#DDDEE1,Hovered state of color.background.accent.gray.subtlest.,#DDDEE1,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.gray.subtlest.pressed,color; background; accent; gray; subtlest; pressed,--ds-background-accent-gray-subtlest-pressed,#B7B9BE,Pressed state of color.background.accent.gray.subtlest.,#B7B9BE,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.gray.subtler,color; background; accent; gray; subtler; [default],--ds-background-accent-gray-subtler,#DDDEE1,"Use for gray backgrounds when there is no meaning tied to the color, such as colored tags.",#DDDEE1,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.gray.subtler.hovered,color; background; accent; gray; subtler; hovered,--ds-background-accent-gray-subtler-hovered,#B7B9BE,Hovered state of color.background.accent.gray.subtler.,#B7B9BE,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.gray.subtler.pressed,color; background; accent; gray; subtler; pressed,--ds-background-accent-gray-subtler-pressed,#8C8F97,Pressed state of color.background.accent.gray.subtler.,#8C8F97,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.gray.subtle,color; background; accent; gray; subtle; [default],--ds-background-accent-gray-subtle,#8C8F97,"Use for vibrant gray backgrounds when there is no meaning tied to the color, such as colored tags.",#8C8F97,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.gray.subtle.hovered,color; background; accent; gray; subtle; hovered,--ds-background-accent-gray-subtle-hovered,#B7B9BE,Hovered state of color.background.accent.gray.subtle.,#B7B9BE,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.gray.subtle.pressed,color; background; accent; gray; subtle; pressed,--ds-background-accent-gray-subtle-pressed,#DDDEE1,Pressed state of color.background.accent.gray.subtle.,#DDDEE1,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.gray.bolder,color; background; accent; gray; bolder; [default],--ds-background-accent-gray-bolder,#6B6E76,"Use for gray backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements.",#6B6E76,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.gray.bolder.hovered,color; background; accent; gray; bolder; hovered,--ds-background-accent-gray-bolder-hovered,#505258,Hovered state of color.background.accent.gray.bolder.,#505258,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.gray.bolder.pressed,color; background; accent; gray; bolder; pressed,--ds-background-accent-gray-bolder-pressed,#3B3D42,Pressed state of color.background.accent.gray.subtlest.,#3B3D42,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.disabled,color; background; disabled,--ds-background-disabled,#0515240F,Use for backgrounds of elements in a disabled state.,#0515240F,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.input,color; background; input; [default],--ds-background-input,#FFFFFF,"Use for background of form UI elements, such as text fields, checkboxes, and radio buttons.",#FFFFFF,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.input.hovered,color; background; input; hovered,--ds-background-input-hovered,#F8F8F8,Hovered state for color.background.input,#F8F8F8,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.input.pressed,color; background; input; pressed,--ds-background-input-pressed,#FFFFFF,Pressed state for color.background.input,#FFFFFF,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.inverse.subtle,color; background; inverse; subtle; [default],--ds-background-inverse-subtle,#00000029,"Use for backgrounds of elements on a bold background, such as in the buttons on spotlight cards.",#00000029,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.inverse.subtle.hovered,color; background; inverse; subtle; hovered,--ds-background-inverse-subtle-hovered,#0000003D,Use for the hovered state of color.background.inverse.subtle,#0000003D,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.inverse.subtle.pressed,color; background; inverse; subtle; pressed,--ds-background-inverse-subtle-pressed,#00000052,Use for the pressed state of color.background.inverse.subtle,#00000052,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.neutral,color; background; neutral; [default]; [default],--ds-background-neutral,#0515240F,"The default background for neutral elements, such as default buttons.",#0515240F,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.neutral.hovered,color; background; neutral; [default]; hovered,--ds-background-neutral-hovered,#0B120E24,Hovered state for color.background.neutral,#0B120E24,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.neutral.pressed,color; background; neutral; [default]; pressed,--ds-background-neutral-pressed,#080F214A,Pressed state for color.background.neutral,#080F214A,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.neutral.subtle,color; background; neutral; subtle; [default],--ds-background-neutral-subtle,#00000000,"Use for the background of elements that appear to have no background in a resting state, such as subtle buttons and menu items.",#00000000,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.neutral.subtle.hovered,color; background; neutral; subtle; hovered,--ds-background-neutral-subtle-hovered,#0515240F,Hovered state for color.background.neutral.subtle,#0515240F,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.neutral.subtle.pressed,color; background; neutral; subtle; pressed,--ds-background-neutral-subtle-pressed,#0B120E24,Pressed state for color.background.neutral.subtle,#0B120E24,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.neutral.bold,color; background; neutral; bold; [default],--ds-background-neutral-bold,#292A2E,"A vibrant background option for neutral UI elements, such as announcement banners.",#292A2E,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.neutral.bold.hovered,color; background; neutral; bold; hovered,--ds-background-neutral-bold-hovered,#3B3D42,Hovered state of color.background.neutral.bold,#3B3D42,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.neutral.bold.pressed,color; background; neutral; bold; pressed,--ds-background-neutral-bold-pressed,#505258,Pressed state of color.background.neutral.bold,#505258,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.selected,color; background; selected; [default]; [default],--ds-background-selected,#E9F2FE,"Use for the background of elements in a selected state, such as in opened dropdown buttons.",#E9F2FE,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.selected.hovered,color; background; selected; [default]; hovered,--ds-background-selected-hovered,#CFE1FD,Hovered state for color.background.selected,#CFE1FD,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.selected.pressed,color; background; selected; [default]; pressed,--ds-background-selected-pressed,#8FB8F6,Pressed state for color.background.selected,#8FB8F6,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.selected.bold,color; background; selected; bold; [default],--ds-background-selected-bold,#1868DB,"Use for the backgrounds of elements in a selected state, such as checkboxes and radio buttons.",#1868DB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.selected.bold.hovered,color; background; selected; bold; hovered,--ds-background-selected-bold-hovered,#1558BC,Hovered state of color.background.selected.bold,#1558BC,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.selected.bold.pressed,color; background; selected; bold; pressed,--ds-background-selected-bold-pressed,#123263,Pressed state of color.background.selected.bold,#123263,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.brand.subtlest,color; background; brand; subtlest; [default],--ds-background-brand-subtlest,#E9F2FE,"Use for the background of elements used to reinforce our brand, but with less emphasis.",#E9F2FE,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.brand.subtlest.hovered,color; background; brand; subtlest; hovered,--ds-background-brand-subtlest-hovered,#CFE1FD,Hovered state of color.background.brand.subtlest.,#CFE1FD,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.brand.subtlest.pressed,color; background; brand; subtlest; pressed,--ds-background-brand-subtlest-pressed,#ADCBFB,Pressed state of color.background.brand.subtlest,#ADCBFB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.brand.bold,color; background; brand; bold; [default],--ds-background-brand-bold,#1868DB,"Use for the background of elements used to reinforce our brand, but with more emphasis.",#1868DB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.brand.bold.hovered,color; background; brand; bold; hovered,--ds-background-brand-bold-hovered,#1558BC,Hovered state of color.background.brand.bold.,#1558BC,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.brand.bold.pressed,color; background; brand; bold; pressed,--ds-background-brand-bold-pressed,#144794,Pressed state of color.background.brand.bold.,#144794,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.brand.boldest,color; background; brand; boldest; [default],--ds-background-brand-boldest,#1C2B42,"Use for the background of elements used to reinforce our brand, that need to stand out a lot.",#1C2B42,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.brand.boldest.hovered,color; background; brand; boldest; hovered,--ds-background-brand-boldest-hovered,#123263,Hovered state of color.background.brand.boldest.,#123263,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.brand.boldest.pressed,color; background; brand; boldest; pressed,--ds-background-brand-boldest-pressed,#144794,Pressed state of color.background.brand.boldest.,#144794,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.danger,color; background; danger; [default]; [default],--ds-background-danger,#FFECEB,"Use for backgrounds communicating critical information, such in error section messages.",#FFECEB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.danger.hovered,color; background; danger; [default]; hovered,--ds-background-danger-hovered,#FFD5D2,Hovered state for color.background.danger,#FFD5D2,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.danger.pressed,color; background; danger; [default]; pressed,--ds-background-danger-pressed,#FFB8B2,Pressed state for color.background.danger,#FFB8B2,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.danger.subtler,color; background; danger; subtler; [default],--ds-background-danger-subtler,#FFD5D2,Use for backgrounds of danger lozenges and badges to ensure accessibility and desired visual appearance.,#FFD5D2,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.danger.subtler.hovered,color; background; danger; subtler; hovered,--ds-background-danger-subtler-hovered,#FFB8B2,Hovered state of color.background.danger.subtler,#FFB8B2,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.danger.subtler.pressed,color; background; danger; subtler; pressed,--ds-background-danger-subtler-pressed,#FD9891,Pressed state of color.background.danger.subtler,#FD9891,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.danger.subtle,color; background; danger; subtle; [default],--ds-background-danger-subtle,#FD9891,"Background colour for non-interactive elements communicating critical danger information (e.g. semantic badges, status pills, callout chips). Sits between subtler and bold in visual emphasis. Not for interactive surfaces — see color.background.danger.bold or color.background.danger.subtler for interactive states.",#FD9891,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.danger.bold,color; background; danger; bold; [default],--ds-background-danger-bold,#C9372C,"A vibrant background option for communicating critical information, such as in danger buttons and error banners.",#C9372C,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.danger.bold.hovered,color; background; danger; bold; hovered,--ds-background-danger-bold-hovered,#AE2E24,Hovered state of color.background.danger.bold,#AE2E24,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.danger.bold.pressed,color; background; danger; bold; pressed,--ds-background-danger-bold-pressed,#872821,Pressed state of color.background.danger.bold,#872821,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.warning,color; background; warning; [default]; [default],--ds-background-warning,#FFF5DB,"Use for backgrounds communicating caution, such as in warning section messages.",#FFF5DB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.warning.hovered,color; background; warning; [default]; hovered,--ds-background-warning-hovered,#FCE4A6,Hovered state for color.background.warning,#FCE4A6,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.warning.pressed,color; background; warning; [default]; pressed,--ds-background-warning-pressed,#FBD779,Pressed state for color.background.warning,#FBD779,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.warning.subtler,color; background; warning; subtler; [default],--ds-background-warning-subtler,#FCE4A6,Use for backgrounds of warning lozenges and badges to ensure accessibility and desired visual appearance.,#FCE4A6,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.warning.subtler.hovered,color; background; warning; subtler; hovered,--ds-background-warning-subtler-hovered,#FBD779,Hovered state of color.background.warning.subtler,#FBD779,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.warning.subtler.pressed,color; background; warning; subtler; pressed,--ds-background-warning-subtler-pressed,#FBC828,Pressed state of color.background.warning.subtler,#FBC828,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.warning.subtle,color; background; warning; subtle; [default],--ds-background-warning-subtle,#FBD779,"Background colour for non-interactive elements communicating caution (e.g. status pills, callout chips). Sits between subtler and bold in visual emphasis. Not for interactive surfaces — see color.background.warning.bold or color.background.warning.subtler for interactive states.",#FBD779,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.warning.bold,color; background; warning; bold; [default],--ds-background-warning-bold,#FBC828,"A vibrant background option for communicating caution, such as in warning buttons and warning banners.",#FBC828,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.warning.bold.hovered,color; background; warning; bold; hovered,--ds-background-warning-bold-hovered,#FCA700,Hovered state of color.background.warning.bold,#FCA700,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.warning.bold.pressed,color; background; warning; bold; pressed,--ds-background-warning-bold-pressed,#F68909,Pressed state of color.background.warning.bold,#F68909,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.success,color; background; success; [default]; [default],--ds-background-success,#EFFFD6,"Use for backgrounds communicating a favorable outcome, such as in success section messages.",#EFFFD6,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.success.hovered,color; background; success; [default]; hovered,--ds-background-success-hovered,#D3F1A7,Hovered state for color.background.success,#D3F1A7,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.success.pressed,color; background; success; [default]; pressed,--ds-background-success-pressed,#BDE97C,Pressed state for color.background.success,#BDE97C,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.success.subtler,color; background; success; subtler; [default],--ds-background-success-subtler,#D3F1A7,Use for backgrounds of success lozenges and badges to ensure accessibility and desired visual appearance.,#D3F1A7,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.success.subtler.hovered,color; background; success; subtler; hovered,--ds-background-success-subtler-hovered,#BDE97C,Hovered state of color.background.success.subtler,#BDE97C,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.success.subtler.pressed,color; background; success; subtler; pressed,--ds-background-success-subtler-pressed,#B3DF72,Pressed state of color.background.success.subtler,#B3DF72,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
